Topic name,Criticality,Module it will send to,Frequency (Hz),Byte,Byterate
control/command/actuation_cmd,Critical,Localization/Vehicle/System,20,0.05K,1KB/s
control/commandcontrol_cmd,Critical,Localization/Vehicle/System,20,0.05K,1KB/s
control/command/emergency_cmd,Critical,Localization/Vehicle/System,20,0.05K,1KB/s
control/command/gear_cmd,Critical,Localization/Vehicle/System,20,0.05K,1KB/s
control/trajectory_followercontrol_cmd,Critical,Localization/Vehicle/System,20,0.05K,1KB/s
control/command/hazard_lights_cmd,Time-Critical-Small,Localization/Vehicle/System,10,0.05K,0.5KB/s
control/command/turn_indicators_cmd,Time-Critical-Small,Localization/Vehicle/System,10,0.05K,0.5KB/s
control/gate_mode_cmd,Time-Critical-Small,Localization/Vehicle/System,10,0.05K,0.5KB/s
control/trajectory_follower/lateral/predicted_trajectory,Time-Critical-Small,Localization/Vehicle/System,20,5K,100KB/s
control/trajectory_follower/lateral/diagnostic,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
control/trajectory_follower/longitudinal/diagnostic,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
controlcontrol_validator/validation_status,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
control/trajectory_follower/longitudinal/stop_reason,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
controlcontrol_evaluator/metrics,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
control/autonomous_emergency_braking/debug/markers,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
control/autonomous_emergency_braking/debug/obstacle_pointcloud,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
control/autonomous_emergency_braking/debug/processing_time_detail_ms,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
control/autonomous_emergency_braking/info/markers,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
control/autoware_operation_mode_transition_manager/debug_info,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
controlcontrol_validator/debug/marker,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
controlcontrol_validator/output/markers,Less-Critical,Localization/Vehicle/System,10,1K,10KB/s
