Topic name,Criticality,Module it will send to,Frequency (Hz),Byte,Byterate
vehicle/status/control_mode,Critical,Control/Planning,20,0.05K,1KB/s
vehicle/status/steering_status,Critical,Control/Planning,20,0.05K,1KB/s
vehicle/status/velocity_status,Critical,Control/Planning,20,0.05K,1KB/s
vehicle/status/gear_status,Critical,Control/Planning,20,0.05K,1KB/s
vehicle/status/hazard_lights_status,Less-Critical,Control/Planning,20,0.05K,1KB/s
vehicle/status/turn_indicators_status,Less-Critical,Control/Planning,20,0.05K,1KB/s
localization/kinematic_state,Critical,Control/Planning,20,1K,20KB/s
localization/pose_estimator/pose,Critical,Control/Planning,20,1K,20KB/s
localization/pose_estimator/pose_with_covariance,Critical,Control/Planning,20,1K,20KB/s
localization/pose_with_covariance,Critical,Control/Planning,20,1K,20KB/s
localization/pose_twist_fusion_filter/pose,Critical,Control/Planning,20,1K,20KB/s
localization/pose_twist_fusion_filter/twist,Critical,Control/Planning,20,1K,20KB/s
localization/pose_twist_fusion_filter/twist_with_covariance,Critical,Control/Planning,20,1K,20KB/s
localization/twist_estimator/twist_with_covariance,Critical,Control/Planning,20,1K,20KB/s
system/emergency/control_cmd,Critical,Control/Planning,20,0.05K,1KB/s
system/emergency/gear_cmd,Critical,Control/Planning,20,0.05K,1KB/s
system/emergency/hazard_lights_cmd,Critical,Control/Planning,20,0.05K,1KB/s
system/emergency/hazard_status,Critical,Control/Planning,10,10K,100KB/s
system/fail_safe/mrm_state,Critical,Control/Planning,20,0.05K,1KB/s
system/mrm/comfortable_stop/status,Critical,Control/Planning,20,0.05K,1KB/s
system/mrm/emergency_stop/status,Critical,Control/Planning,20,0.05K,1KB/s
system/mrm/pull_over_manager/status,Critical,Control/Planning,20,0.05K,1KB/s
system/operation_mode/state,Critical,Control/Planning,20,0.05K,1KB/s
system/operation_mode/availability,Critical,Control/Planning,20,0.05K,1KB/s
