Topic name,Criticality,Module it will send to,Frequency (Hz),Byte,Byterate
sensing/vehicle_velocity_converter/twist_with_covariance,Time-Critical-Small,Control/Planning,20,0.5K,10KB/s
sensing/imu/tamagawa/imu_raw,Time-Critical-Small,Localization/Vehicle/System,20,0.5K,10KB/s
sensing/imu/gyro_bias,Time-Critical-Small,Localization/Vehicle/System,20,0.05K,1KB/s
sensing/gnss/fixed,Time-Critical-Small,Localization/Vehicle/System,20,0.05K,1KB/s
sensing/gnss/pose,Time-Critical-Small,Localization/Vehicle/System,20,0.5K,10KB/s
sensing/gnss/pose_with_covariance,Time-Critical-Small,Localization/Vehicle/System,20,0.3K,6KB/s
sensing/gnss/ublox/nav_sat_fix,Time-Critical-Small,Localization/Vehicle/System,20,0.1K,2KB/s
sensing/imu/imu_data,Time-Critical-Small,Localization/Vehicle/System,20,0.3K,6KB/s
sensing/camera/camera0/image_raw,Time-Critical-Large,Localization/Vehicle/System,20,1M,20MB/s
sensing/camera/camera1/image_raw,Time-Critical-Large,Localization/Vehicle/System,20,1M,20MB/s
sensing/camera/camera2/image_raw,Time-Critical-Large,Localization/Vehicle/System,20,1M,20MB/s
sensing/camera/camera3/image_raw,Time-Critical-Large,Localization/Vehicle/System,20,1M,20MB/s
sensing/camera/camera4/image_raw,Time-Critical-Large,Localization/Vehicle/System,20,1M,20MB/s
sensing/camera/camera5/image_raw,Time-Critical-Large,Localization/Vehicle/System,20,1M,20MB/s
sensing/camera/camera0/image_raw/compressed,Time-Critical-Large,Localization/Vehicle/System,20,200K,4MB/s
sensing/camera/camera1/image_raw/compressed,Time-Critical-Large,Localization/Vehicle/System,20,200K,4MB/s
sensing/camera/camera2/image_raw/compressed,Time-Critical-Large,Localization/Vehicle/System,20,200K,4MB/s
sensing/camera/camera3/image_raw/compressed,Time-Critical-Large,Localization/Vehicle/System,20,200K,4MB/s
sensing/camera/camera4/image_raw/compressed,Time-Critical-Large,Localization/Vehicle/System,20,200K,4MB/s
sensing/camera/camera5/image_raw/compressed,Time-Critical-Large,Localization/Vehicle/System,20,200K,4MB/s
sensing/lidar/concatenated/pointcloud,Time-Critical-Large,Localization/Vehicle/System,20,1M,20MB/s
sensing/lidar/left/pointcloud,Time-Critical-Large,Localization/Vehicle/System,20,1M,20MB/s
