control/autonomous_emergency_braking/debug/markers,Vehicle/System,Less-Critical,10,24K,240KB/s
control/autonomous_emergency_braking/debug/obstacle_pointcloud,Vehicle/System,Less-Critical,0,0.1K,0
control/autonomous_emergency_braking/debug/processing_time_detail_ms,Vehicle/System,Less-Critical,10,0.7K,7KB/s
control/autonomous_emergency_braking/debug/rss_distance,Vehicle/System,Less-Critical,0,0.1K,0
control/autonomous_emergency_braking/metrics,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
control/autonomous_emergency_braking/virtual_wall,Vehicle/System,Less-Critical,10,0.01K,0.1KB/s
control/autoware_operation_mode_transition_manager/debug_info,Vehicle/System,Less-Critical,10,0.1K,1KB/s
control/command/actuation_cmd,Vehicle/System,Critical,20,0.05K,1KB/s
control/command/control_cmd,Vehicle/System,Critical,20,0.08K,1.6KB/s
control/command/control_cmd/debug/published_time,Vehicle/System,Less-Critical,20,0.03K,0.6KB/s
control/command/emergency_cmd,Vehicle/System,Critical,20,0.015K,0.3KB/s
control/command/gear_cmd,Vehicle/System,Critical,10,0.015K,0.15KB/s
control/command/hazard_lights_cmd,Vehicle/System,Critical,10,0.015K,0.15KB/s
control/command/turn_indicators_cmd,Vehicle/System,Critical,10,0.015K,0.15KB/s
control/control_evaluator/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
control/control_evaluator/metrics,Vehicle/System,Less-Critical,10,0.8K,8KB/s
control/control_validator/debug/marker,Vehicle/System,Less-Critical,20,0.01K,0.2KB/s
control/control_validator/debug/processing_time_ms,Vehicle/System,Less-Critical,20,0.02K,0.4KB/s
control/control_validator/output/markers,Vehicle/System,Less-Critical,0,0.1K,0
control/control_validator/validation_status,Vehicle/System,Less-Critical,20,0.08K,1.6KB/s
control/control_validator/virtual_wall,Vehicle/System,Less-Critical,20,0.01K,0.2KB/s
control/gate_mode_cmd,Vehicle/System,Critical,0,0,0
control/trajectory_follower/control_cmd,Vehicle/System,Critical,20,0.08K,1.6KB/s
control/trajectory_follower/control_cmd/debug/published_time,Vehicle/System,Less-Critical,20,0.03K,0.6KB/s
control/trajectory_follower/controller_node_exe/debug/predicted_trajectory_in_frenet_coordinate,Vehicle/System,Less-Critical,20,4.5K,90KB/s
control/trajectory_follower/controller_node_exe/debug/resampled_reference_trajectory,Vehicle/System,Less-Critical,20,4.5K,90KB/s
control/trajectory_follower/controller_node_exe/lateral/debug/processing_time_ms,Vehicle/System,Less-Critical,20,0.02K,0.4KB/s
control/trajectory_follower/controller_node_exe/longitudinal/debug/processing_time_ms,Vehicle/System,Less-Critical,20,0.02K,0.4KB/s
control/trajectory_follower/controller_node_exe/output/debug_marker,Vehicle/System,Less-Critical,20,0.3K,6KB/s
control/trajectory_follower/controller_node_exe/output/estimated_steer_offset,Vehicle/System,Less-Critical,20,0.02K,0.4KB/s
control/trajectory_follower/controller_node_exe/virtual_wall,Vehicle/System,Less-Critical,0,0.1K,0
control/trajectory_follower/lane_departure_checker_node/debug/deviation/lateral,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw_deg,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
control/trajectory_follower/lane_departure_checker_node/debug/marker_array,Vehicle/System,Less-Critical,10,4.5K,45KB/s
control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms_diag,Vehicle/System,Less-Critical,10,0.02K,0.2KB/s
control/trajectory_follower/lateral/diagnostic,Vehicle/System,Less-Critical,20,0.1K,2KB/s
