localization/kinematic_state,Critical,Control/Planning,50,0.7K,35KB/s
localization/pose_estimator/pose,Critical,Control/Planning,10,0.1K,1KB/s
localization/pose_estimator/pose_with_covariance,Critical,Control/Planning,10,0.4K,4KB/s
localization/pose_twist_fusion_filter/pose,Critical,Control/Planning,50,0.08K,4KB/s
localization/pose_twist_fusion_filter/twist,Critical,Control/Planning,50,0.08K,4KB/s
localization/pose_twist_fusion_filter/twist_with_covariance,Critical,Control/Planning,50,0.4K,20KB/s
localization/pose_with_covariance,Critical,Control/Planning,50,0.4K,20KB/s
localization/twist_estimator/twist_with_covariance,Critical,Control/Planning,30,0.4K,12KB/s
perception/object_recognition/detection/centerpoint/objects,Critical,Control/Planning,10,2K,20KB/s
perception/object_recognition/detection/detection_by_tracker/objects,Critical,Control/Planning,10,2K,20KB/s
perception/object_recognition/detection/objects,Critical,Control/Planning,10,2K,20KB/s
perception/object_recognition/objects,Critical,Control/Planning,10,2K,20KB/s
perception/object_recognition/tracking/objects,Critical,Control/Planning,10,2K,20KB/s
perception/traffic_light_recognition/judged/traffic_signals,Critical,Control/Planning,10,0.1K,1KB/s
perception/traffic_light_recognition/traffic_signals,Critical,Control/Planning,10,0.1K,1KB/s
sensing/vehicle_velocity_converter/twist_with_covariance,Critical,Control/Planning,30,0.36K,10KB/s
perception/object_recognition/prediction/maneuver,Critical,Control/Planning,10,0.01K,0.1KB/s
perception/occupancy_grid_map/map,Critical,Control/Planning,10,100K,1MB/s
sensing/gnss/pose,Critical,Control/Planning,5,0.1K,0.5KB/s
sensing/gnss/pose_with_covariance,Critical,Control/Planning,5,0.36K,1.8KB/s
sensing/imu/imu_data,Critical,Control/Planning,30,0.3K,10KB/s
localization/debug/ellipse_marker,Less-Critical,Vehicle/System,50,0.1K,5KB/s
localization/pose_estimator/debug/loaded_pointcloud_map,Less-Critical,Vehicle/System,1,0.1K,0.1KB/s
localization/pose_estimator/exe_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
localization/pose_twist_fusion_filter/debug/processing_time_ms,Less-Critical,Vehicle/System,50,0.1K,5KB/s
localization/pose_twist_fusion_filter/debug/stop_flag,Less-Critical,Vehicle/System,50,0.1K,5KB/s
localization/pose_twist_fusion_filter/pose_instability_detector/debug/diff_pose,Less-Critical,Vehicle/System,2,0.1K,0.2KB/s
localization/util/crop_box_filter_measurement_range/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
localization/util/crop_box_filter_measurement_range/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
localization/util/crop_box_filter_measurement_range/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
localization/util/downsample/pointcloud/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
localization/util/measurement_range/pointcloud/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
localization/util/voxel_grid_downsample/pointcloud/debug/published_time,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
