control/command/control_cmd,Critical,Vehicle/System,30,0.1K,3KB/s
control/command/emergency_cmd,Critical,Vehicle/System,30,0.03K,1KB/s
control/command/gear_cmd,Critical,Vehicle/System,10,0.03K,1KB/s
control/trajectory_follower/control_cmd,Critical,Vehicle/System,30,0.1K,3KB/s
control/command/hazard_lights_cmd,Critical,Vehicle/System,10,0.03K,0.3KB/s
control/command/turn_indicators_cmd,Critical,Vehicle/System,10,0.03K,0.3KB/s
control/gate_mode_cmd,Critical,Vehicle/System,0,0.03K,0
control/trajectory_follower/lateral/predicted_trajectory,Critical,Vehicle/System,30,5K,150KB/s
planning/hazard_lights_cmd,Critical,Vehicle/System,10,0.03K,0.3KB/s
planning/scenario_planning/parking/is_completed,Critical,Vehicle/System,10,0.01K,0.1KB/s
planning/turn_indicators_cmd,Critical,Vehicle/System,10,0.03K,0.3KB/s
localization/kinematic_state,Critical,Control/Planning,50,0.7K,35KB/s
localization/pose_estimator/pose,Critical,Control/Planning,10,0.1K,1KB/s
localization/pose_estimator/pose_with_covariance,Critical,Control/Planning,10,0.4K,4KB/s
localization/pose_twist_fusion_filter/pose,Critical,Control/Planning,50,0.08K,4KB/s
localization/pose_twist_fusion_filter/twist,Critical,Control/Planning,50,0.08K,4KB/s
localization/pose_twist_fusion_filter/twist_with_covariance,Critical,Control/Planning,50,0.4K,20KB/s
localization/pose_with_covariance,Critical,Control/Planning,50,0.4K,20KB/s
localization/twist_estimator/twist_with_covariance,Critical,Control/Planning,30,0.4K,12KB/s
perception/object_recognition/detection/centerpoint/objects,Critical,Control/Planning,10,2K,20KB/s
perception/object_recognition/detection/detection_by_tracker/objects,Critical,Control/Planning,10,2K,20KB/s
perception/object_recognition/detection/objects,Critical,Control/Planning,10,2K,20KB/s
perception/object_recognition/objects,Critical,Control/Planning,10,2K,20KB/s
perception/object_recognition/tracking/objects,Critical,Control/Planning,10,2K,20KB/s
perception/traffic_light_recognition/judged/traffic_signals,Critical,Control/Planning,10,0.1K,1KB/s
perception/traffic_light_recognition/traffic_signals,Critical,Control/Planning,10,0.1K,1KB/s
sensing/vehicle_velocity_converter/twist_with_covariance,Critical,Control/Planning,30,0.36K,10KB/s
perception/object_recognition/prediction/maneuver,Critical,Control/Planning,10,0.01K,0.1KB/s
perception/occupancy_grid_map/map,Critical,Control/Planning,10,100K,1MB/s
sensing/gnss/pose,Critical,Control/Planning,5,0.1K,0.5KB/s
sensing/gnss/pose_with_covariance,Critical,Control/Planning,5,0.36K,1.8KB/s
sensing/imu/imu_data,Critical,Control/Planning,30,0.3K,10KB/s
vehicle/status/control_mode,Critical,Control/Planning,30,0.02K,0.6KB/s
vehicle/status/gear_status,Critical,Control/Planning,30,0.02K,0.6KB/s
vehicle/status/hazard_lights_status,Critical,Control/Planning,30,0.02K,0.6KB/s
vehicle/status/steering_status,Critical,Control/Planning,30,0.02K,0.6KB/s
vehicle/status/turn_indicators_status,Critical,Control/Planning,30,0.02K,0.6KB/s
vehicle/status/velocity_status,Critical,Control/Planning,30,0.04K,1.2KB/s
system/emergency_holding,Critical,Control/Planning,10,0.02K,0.2KB/s
system/emergency/control_cmd,Critical,Control/Planning,30,0.08K,2.4KB/s
system/emergency/gear_cmd,Critical,Control/Planning,10,0.02K,0.2KB/s
system/emergency/hazard_lights_cmd,Critical,Control/Planning,10,0.02K,0.2KB/s
system/emergency/hazard_status,Critical,Control/Planning,10,10K,100KB/s
system/fail_safe/mrm_state,Critical,Control/Planning,10,0.02K,0.2KB/s
system/mrm/comfortable_stop/status,Critical,Control/Planning,10,0.02K,0.2KB/s
system/mrm/emergency_stop/status,Critical,Control/Planning,30,0.02K,0.6KB/s
system/operation_mode/availability,Critical,Control/Planning,10,0.02K,0.2KB/s
system/operation_mode/state,Critical,Control/Planning,0,0.02K,0
control/autonomous_emergency_braking/debug/markers,Less-Critical,Vehicle/System,10,0.1K,1KB/s
control/autonomous_emergency_braking/debug/obstacle_pointcloud,Less-Critical,Vehicle/System,0,0.1K,0
control/autonomous_emergency_braking/debug/processing_time_detail_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
control/autonomous_emergency_braking/debug/rss_distance,Less-Critical,Vehicle/System,0,0.1K,0
control/autonomous_emergency_braking/metrics,Less-Critical,Vehicle/System,10,0.1K,1KB/s
control/autonomous_emergency_braking/virtual_wall,Less-Critical,Vehicle/System,10,0.1K,1KB/s
control/autoware_operation_mode_transition_manager/debug_info,Less-Critical,Vehicle/System,10,0.1K,1KB/s
control/command/control_cmd/debug/published_time,Less-Critical,Vehicle/System,30,0.1K,3KB/s
control/control_evaluator/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
control/control_evaluator/metrics,Less-Critical,Vehicle/System,10,0.1K,1KB/s
control/control_validator/debug/marker,Less-Critical,Vehicle/System,30,0.1K,3KB/s
control/control_validator/debug/processing_time_ms,Less-Critical,Vehicle/System,30,0.1K,3KB/s
control/control_validator/output/markers,Less-Critical,Vehicle/System,0,0.1K,0
control/control_validator/validation_status,Less-Critical,Vehicle/System,30,0.1K,3KB/s
control/control_validator/virtual_wall,Less-Critical,Vehicle/System,30,0.1K,3KB/s
control/trajectory_follower/control_cmd/debug/published_time,Less-Critical,Vehicle/System,30,0.1K,3KB/s
control/trajectory_follower/controller_node_exe/debug/predicted_trajectory_in_frenet_coordinate,Less-Critical,Vehicle/System,30,0.1K,3KB/s
control/trajectory_follower/controller_node_exe/debug/resampled_reference_trajectory,Less-Critical,Vehicle/System,30,0.1K,3KB/s
control/trajectory_follower/controller_node_exe/lateral/debug/processing_time_ms,Less-Critical,Vehicle/System,30,0.1K,3KB/s
control/trajectory_follower/controller_node_exe/longitudinal/debug/processing_time_ms,Less-Critical,Vehicle/System,30,0.1K,3KB/s
control/trajectory_follower/controller_node_exe/output/debug_marker,Less-Critical,Vehicle/System,30,0.1K,3KB/s
control/trajectory_follower/controller_node_exe/output/estimated_steer_offset,Less-Critical,Vehicle/System,30,0.1K,3KB/s
control/trajectory_follower/controller_node_exe/virtual_wall,Less-Critical,Vehicle/System,1,0.1K,0.1KB/s
control/trajectory_follower/lane_departure_checker_node/debug/deviation/lateral,Less-Critical,Vehicle/System,10,0.1K,1KB/s
control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw,Less-Critical,Vehicle/System,10,0.1K,1KB/s
control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw_deg,Less-Critical,Vehicle/System,10,0.1K,1KB/s
control/trajectory_follower/lane_departure_checker_node/debug/marker_array,Less-Critical,Vehicle/System,10,0.1K,1KB/s
control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms_diag,Less-Critical,Vehicle/System,10,0.1K,1KB/s
control/trajectory_follower/lateral/diagnostic,Less-Critical,Vehicle/System,30,0.1K,3KB/s
control/trajectory_follower/longitudinal/diagnostic,Less-Critical,Vehicle/System,30,0.1K,3KB/s
control/vehicle_cmd_gate/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
control/vehicle_cmd_gate/is_filter_activated/marker,Less-Critical,Vehicle/System,1,0.1K,0.1KB/s
control/vehicle_cmd_gate/is_filter_activated/marker_raw,Less-Critical,Vehicle/System,30,0.1K,3KB/s
planning/auto_mode_status/avoidance_by_lane_change_left,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/auto_mode_status/avoidance_by_lane_change_right,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/auto_mode_status/blind_spot,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/auto_mode_status/crosswalk,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/auto_mode_status/goal_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/auto_mode_status/intersection,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/auto_mode_status/intersection_occlusion,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/auto_mode_status/lane_change_left,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/auto_mode_status/lane_change_right,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/auto_mode_status/no_stopping_area,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/auto_mode_status/start_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/auto_mode_status/static_obstacle_avoidance_left,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/auto_mode_status/static_obstacle_avoidance_right,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/auto_mode_status/traffic_light,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/cooperate_status/avoidance_by_lane_change_left,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/cooperate_status/avoidance_by_lane_change_right,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/cooperate_status/blind_spot,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/cooperate_status/crosswalk,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/cooperate_status/goal_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/cooperate_status/intersection,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/cooperate_status/intersection_occlusion,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/cooperate_status/lane_change_left,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/cooperate_status/lane_change_right,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/cooperate_status/no_stopping_area,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/cooperate_status/start_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/cooperate_status/static_obstacle_avoidance_left,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/cooperate_status/static_obstacle_avoidance_right,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/cooperate_status/traffic_light,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/debug/objects_of_interest/avoidance_by_lane_change_left,Less-Critical,Vehicle/System,0,0.1K,0
planning/debug/objects_of_interest/avoidance_by_lane_change_right,Less-Critical,Vehicle/System,0,0.1K,0
planning/debug/objects_of_interest/blind_spot,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/debug/objects_of_interest/crosswalk,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/debug/objects_of_interest/goal_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/debug/objects_of_interest/intersection,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/debug/objects_of_interest/lane_change_left,Less-Critical,Vehicle/System,0,0.1K,0
planning/debug/objects_of_interest/lane_change_right,Less-Critical,Vehicle/System,0,0.1K,0
planning/debug/objects_of_interest/no_stopping_area,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/debug/objects_of_interest/obstacle_cruise,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/debug/objects_of_interest/obstacle_slow_down,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/debug/objects_of_interest/obstacle_stop,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/debug/objects_of_interest/start_planner,Less-Critical,Vehicle/System,0,0.1K,0
planning/debug/objects_of_interest/static_obstacle_avoidance_left,Less-Critical,Vehicle/System,0,0.1K,0
planning/debug/objects_of_interest/static_obstacle_avoidance_right,Less-Critical,Vehicle/System,0,0.1K,0
planning/debug/objects_of_interest/traffic_light,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/mission_planning/mission_planner/debug/goal_footprint,Less-Critical,Vehicle/System,1,0.1K,0.1KB/s
planning/mission_planning/mission_planner/debug/processing_time_ms,Less-Critical,Vehicle/System,0,0.1K,0
planning/mission_planning/route_selector/debug/processing_time_ms,Less-Critical,Vehicle/System,0,0.1K,0
planning/planning_evaluator/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_evaluator/metrics,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/avoidance_by_lane_change,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/behavior_path_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/blind_spot,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/crosswalk,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/detection_area,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/dynamic_obstacle_stop,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/goal_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/intersection,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/lane_change_left,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/lane_change_right,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/no_stopping_area,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/obstacle_cruise,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/obstacle_slow_down,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/obstacle_stop,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/out_of_lane,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/run_out,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/side_shift,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/start_planner,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/static_obstacle_avoidance,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/stop_line,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/traffic_light,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/virtual_traffic_light,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_factors/walkway,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_validator/debug/marker,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_validator/debug/processing_time_ms,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_validator/output/markers,Less-Critical,Vehicle/System,0,0.1K,0
planning/planning_validator/validation_status,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/planning_validator/virtual_wall,Less-Critical,Vehicle/System,10,0.1K,1KB/s
planning/scenario_planning/external_velocity_limit_selector/debug,Less-Critical,Vehicle/System,0,0.1K,0
