vehicle/status/control_mode,Critical,Control/Planning,30,0.02K,0.6KB/s
vehicle/status/gear_status,Critical,Control/Planning,30,0.02K,0.6KB/s
vehicle/status/hazard_lights_status,Critical,Control/Planning,30,0.02K,0.6KB/s
vehicle/status/steering_status,Critical,Control/Planning,30,0.02K,0.6KB/s
vehicle/status/turn_indicators_status,Critical,Control/Planning,30,0.02K,0.6KB/s
vehicle/status/velocity_status,Critical,Control/Planning,30,0.04K,1.2KB/s
system/emergency_holding,Critical,Control/Planning,10,0.02K,0.2KB/s
system/emergency/control_cmd,Critical,Control/Planning,30,0.08K,2.4KB/s
system/emergency/gear_cmd,Critical,Control/Planning,10,0.02K,0.2KB/s
system/emergency/hazard_lights_cmd,Critical,Control/Planning,10,0.02K,0.2KB/s
system/emergency/hazard_status,Critical,Control/Planning,10,10K,100KB/s
system/fail_safe/mrm_state,Critical,Control/Planning,10,0.02K,0.2KB/s
system/mrm/comfortable_stop/status,Critical,Control/Planning,10,0.02K,0.2KB/s
system/mrm/emergency_stop/status,Critical,Control/Planning,30,0.02K,0.6KB/s
system/operation_mode/availability,Critical,Control/Planning,10,0.02K,0.2KB/s
system/operation_mode/state,Critical,Control/Planning,0,0.02K,0
