camera/front | seq = 1 | latency = 6931 µs
perception/objects | seq = 1 | latency = 3369 µs
camera/left | seq = 1 | latency = 11878 µs
camera/right | seq = 1 | latency = 17163 µs
camera/rear | seq = 1 | latency = 22531 µs
camera/left | seq = 2 | latency = 8238 µs
camera/front | seq = 2 | latency = 13956 µs
camera/right | seq = 2 | latency = 16041 µs
lidar/main | seq = 1 | latency = 44454 µs
camera/rear | seq = 2 | latency = 18599 µs
perception/objects | seq = 2 | latency = 3320 µs
camera/left | seq = 3 | latency = 14695 µs
camera/front | seq = 3 | latency = 19704 µs
camera/right | seq = 3 | latency = 24006 µs
camera/rear | seq = 3 | latency = 25065 µs
camera/front | seq = 4 | latency = 18590 µs
camera/right | seq = 4 | latency = 20989 µs
camera/rear | seq = 4 | latency = 22066 µs
perception/objects | seq = 3 | latency = 3514 µs
camera/left | seq = 5 | latency = 23929 µs
lidar/main | seq = 2 | latency = 43764 µs
camera/front | seq = 5 | latency = 22106 µs
camera/right | seq = 5 | latency = 26598 µs
camera/rear | seq = 5 | latency = 29176 µs
radar/rear | seq = 3 | latency = 25321 µs
radar/front | seq = 3 | latency = 27410 µs
lidar/aux | seq = 2 | latency = 44366 µs
camera/left | seq = 6 | latency = 34162 µs
perception/objects | seq = 4 | latency = 3450 µs
camera/rear | seq = 6 | latency = 22261 µs
camera/left | seq = 7 | latency = 15255 µs
lidar/main | seq = 3 | latency = 44788 µs
camera/front | seq = 7 | latency = 22649 µs
camera/right | seq = 7 | latency = 29699 µs
camera/rear | seq = 7 | latency = 26090 µs
camera/left | seq = 8 | latency = 29482 µs
camera/right | seq = 8 | latency = 18496 µs
lidar/aux | seq = 3 | latency = 46833 µs
perception/objects | seq = 5 | latency = 3240 µs
camera/rear | seq = 8 | latency = 15876 µs
camera/left | seq = 9 | latency = 15958 µs
camera/front | seq = 9 | latency = 13931 µs
camera/right | seq = 9 | latency = 15376 µs
camera/rear | seq = 9 | latency = 13446 µs
camera/left | seq = 10 | latency = 10871 µs
camera/right | seq = 10 | latency = 12349 µs
camera/front | seq = 10 | latency = 18415 µs
radar/front | seq = 5 | latency = 17143 µs
radar/rear | seq = 5 | latency = 20635 µs
perception/objects | seq = 6 | latency = 3244 µs
lidar/main | seq = 5 | latency = 39610 µs
camera/rear | seq = 10 | latency = 24754 µs
camera/left | seq = 11 | latency = 21346 µs
camera/front | seq = 11 | latency = 17219 µs
camera/rear | seq = 11 | latency = 11459 µs
camera/left | seq = 12 | latency = 13748 µs
camera/right | seq = 12 | latency = 12560 µs
camera/front | seq = 12 | latency = 16492 µs
camera/rear | seq = 12 | latency = 13608 µs
camera/left | seq = 13 | latency = 17030 µs
radar/front | seq = 6 | latency = 19540 µs
radar/rear | seq = 6 | latency = 19748 µs
perception/objects | seq = 7 | latency = 3677 µs
camera/right | seq = 13 | latency = 23752 µs
lidar/main | seq = 6 | latency = 47500 µs
camera/front | seq = 13 | latency = 27269 µs
camera/rear | seq = 13 | latency = 17193 µs
camera/left | seq = 14 | latency = 21408 µs
camera/right | seq = 14 | latency = 17359 µs
