perception/objects | seq = 1 | latency = 989 µs
camera/front | seq = 1 | latency = 7760 µs
radar/front | seq = 1 | latency = 7368 µs
radar/rear | seq = 1 | latency = 10524 µs
lidar/main | seq = 1 | latency = 31328 µs
camera/right | seq = 2 | latency = 10027 µs
camera/rear | seq = 2 | latency = 18111 µs
camera/front | seq = 2 | latency = 27359 µs
perception/objects | seq = 2 | latency = 240 µs
camera/left | seq = 2 | latency = 36797 µs
lidar/aux | seq = 1 | latency = 60447 µs
camera/right | seq = 3 | latency = 27847 µs
camera/front | seq = 3 | latency = 19737 µs
camera/left | seq = 3 | latency = 24139 µs
lidar/main | seq = 2 | latency = 40896 µs
camera/right | seq = 4 | latency = 27293 µs
perception/objects | seq = 3 | latency = 757 µs
camera/rear | seq = 4 | latency = 33233 µs
camera/front | seq = 4 | latency = 32534 µs
camera/left | seq = 4 | latency = 29261 µs
lidar/aux | seq = 2 | latency = 44919 µs
camera/right | seq = 5 | latency = 29647 µs
camera/front | seq = 5 | latency = 23023 µs
camera/left | seq = 5 | latency = 26138 µs
perception/objects | seq = 4 | latency = 1146 µs
camera/right | seq = 6 | latency = 28812 µs
camera/rear | seq = 6 | latency = 28180 µs
camera/front | seq = 6 | latency = 18994 µs
camera/left | seq = 6 | latency = 20310 µs
camera/right | seq = 7 | latency = 16272 µs
radar/front | seq = 4 | latency = 13667 µs
radar/rear | seq = 4 | latency = 16215 µs
camera/rear | seq = 7 | latency = 21305 µs
camera/front | seq = 7 | latency = 21268 µs
camera/left | seq = 7 | latency = 19296 µs
perception/objects | seq = 5 | latency = 556 µs
camera/right | seq = 8 | latency = 24647 µs
camera/rear | seq = 8 | latency = 27607 µs
lidar/aux | seq = 4 | latency = 42612 µs
camera/front | seq = 8 | latency = 24040 µs
camera/left | seq = 8 | latency = 23635 µs
camera/right | seq = 9 | latency = 29015 µs
radar/front | seq = 5 | latency = 18498 µs
camera/rear | seq = 9 | latency = 25301 µs
camera/front | seq = 9 | latency = 31163 µs
perception/objects | seq = 6 | latency = 1076 µs
camera/right | seq = 10 | latency = 14406 µs
camera/front | seq = 10 | latency = 18374 µs
lidar/aux | seq = 5 | latency = 42737 µs
camera/rear | seq = 10 | latency = 23104 µs
camera/left | seq = 10 | latency = 24971 µs
camera/right | seq = 11 | latency = 13452 µs
camera/front | seq = 11 | latency = 17404 µs
camera/rear | seq = 11 | latency = 20805 µs
radar/front | seq = 6 | latency = 20618 µs
camera/left | seq = 11 | latency = 22087 µs
radar/rear | seq = 6 | latency = 25908 µs
perception/objects | seq = 7 | latency = 912 µs
camera/right | seq = 12 | latency = 25769 µs
camera/front | seq = 12 | latency = 25049 µs
camera/rear | seq = 12 | latency = 31535 µs
lidar/aux | seq = 6 | latency = 45180 µs
camera/left | seq = 12 | latency = 30116 µs
camera/right | seq = 13 | latency = 25144 µs
camera/front | seq = 13 | latency = 25802 µs
camera/rear | seq = 13 | latency = 22574 µs
radar/front | seq = 7 | latency = 23810 µs
camera/right | seq = 14 | latency = 25917 µs
perception/objects | seq = 8 | latency = 788 µs
radar/rear | seq = 7 | latency = 27547 µs
camera/left | seq = 13 | latency = 34287 µs
camera/front | seq = 14 | latency = 33423 µs
lidar/aux | seq = 7 | latency = 44224 µs
camera/rear | seq = 14 | latency = 29505 µs
camera/right | seq = 15 | latency = 29179 µs
camera/rear | seq = 15 | latency = 10314 µs
camera/right | seq = 16 | latency = 9355 µs
radar/front | seq = 8 | latency = 12127 µs
radar/rear | seq = 8 | latency = 12592 µs
perception/objects | seq = 9 | latency = 874 µs
camera/front | seq = 16 | latency = 19466 µs
camera/left | seq = 15 | latency = 23734 µs
camera/rear | seq = 16 | latency = 21865 µs
camera/right | seq = 17 | latency = 27036 µs
lidar/aux | seq = 8 | latency = 44856 µs
camera/front | seq = 17 | latency = 25555 µs
camera/left | seq = 16 | latency = 28768 µs
camera/rear | seq = 17 | latency = 23460 µs
camera/right | seq = 18 | latency = 28871 µs
camera/front | seq = 18 | latency = 29553 µs
perception/objects | seq = 10 | latency = 717 µs
radar/front | seq = 9 | latency = 29423 µs
camera/right | seq = 19 | latency = 19313 µs
camera/rear | seq = 18 | latency = 25604 µs
camera/front | seq = 19 | latency = 27171 µs
lidar/aux | seq = 9 | latency = 44333 µs
camera/left | seq = 18 | latency = 25928 µs
camera/rear | seq = 19 | latency = 20922 µs
camera/right | seq = 20 | latency = 23282 µs
camera/front | seq = 20 | latency = 23678 µs
camera/left | seq = 19 | latency = 23933 µs
perception/objects | seq = 11 | latency = 257 µs
radar/front | seq = 10 | latency = 24654 µs
camera/rear | seq = 20 | latency = 27810 µs
radar/rear | seq = 10 | latency = 29614 µs
camera/right | seq = 21 | latency = 28755 µs
camera/front | seq = 21 | latency = 30546 µs
lidar/aux | seq = 10 | latency = 44427 µs
camera/left | seq = 20 | latency = 30991 µs
camera/front | seq = 22 | latency = 11877 µs
camera/left | seq = 21 | latency = 16499 µs
perception/objects | seq = 12 | latency = 757 µs
camera/rear | seq = 22 | latency = 18400 µs
radar/front | seq = 11 | latency = 21225 µs
camera/right | seq = 23 | latency = 25295 µs
radar/rear | seq = 11 | latency = 18930 µs
camera/front | seq = 23 | latency = 24797 µs
camera/left | seq = 22 | latency = 31550 µs
lidar/aux | seq = 11 | latency = 44626 µs
camera/rear | seq = 23 | latency = 31256 µs
camera/right | seq = 24 | latency = 30174 µs
camera/front | seq = 24 | latency = 25616 µs
camera/left | seq = 23 | latency = 19007 µs
perception/objects | seq = 13 | latency = 857 µs
camera/right | seq = 25 | latency = 20578 µs
radar/front | seq = 12 | latency = 24240 µs
camera/front | seq = 25 | latency = 20731 µs
camera/left | seq = 24 | latency = 25774 µs
radar/rear | seq = 12 | latency = 27251 µs
camera/right | seq = 26 | latency = 29795 µs
lidar/aux | seq = 12 | latency = 43518 µs
camera/rear | seq = 25 | latency = 33672 µs
camera/front | seq = 26 | latency = 34743 µs
perception/objects | seq = 14 | latency = 1010 µs
camera/left | seq = 25 | latency = 34389 µs
camera/right | seq = 27 | latency = 29621 µs
camera/rear | seq = 26 | latency = 31768 µs
radar/front | seq = 13 | latency = 30383 µs
camera/front | seq = 27 | latency = 27312 µs
radar/rear | seq = 13 | latency = 26999 µs
camera/left | seq = 26 | latency = 29332 µs
camera/front | seq = 28 | latency = 13046 µs
camera/left | seq = 27 | latency = 11433 µs
camera/rear | seq = 28 | latency = 14957 µs
perception/objects | seq = 15 | latency = 685 µs
camera/right | seq = 29 | latency = 18921 µs
camera/front | seq = 29 | latency = 22025 µs
lidar/main | seq = 13 | latency = 44661 µs
radar/front | seq = 14 | latency = 19220 µs
camera/left | seq = 28 | latency = 21221 µs
camera/rear | seq = 29 | latency = 21741 µs
camera/right | seq = 30 | latency = 26921 µs
radar/rear | seq = 14 | latency = 27197 µs
camera/front | seq = 30 | latency = 31694 µs
camera/left | seq = 29 | latency = 27543 µs
perception/objects | seq = 16 | latency = 301 µs
camera/rear | seq = 30 | latency = 33227 µs
camera/right | seq = 31 | latency = 27695 µs
lidar/main | seq = 14 | latency = 44679 µs
camera/front | seq = 31 | latency = 26209 µs
camera/left | seq = 30 | latency = 26407 µs
radar/front | seq = 15 | latency = 24956 µs
camera/rear | seq = 31 | latency = 21243 µs
camera/left | seq = 31 | latency = 8963 µs
camera/right | seq = 33 | latency = 12743 µs
camera/rear | seq = 32 | latency = 18262 µs
perception/objects | seq = 17 | latency = 596 µs
camera/front | seq = 33 | latency = 21991 µs
camera/right | seq = 34 | latency = 13451 µs
lidar/main | seq = 15 | latency = 44256 µs
camera/left | seq = 32 | latency = 20979 µs
camera/rear | seq = 33 | latency = 22329 µs
radar/front | seq = 16 | latency = 21575 µs
camera/front | seq = 34 | latency = 27408 µs
radar/rear | seq = 16 | latency = 20748 µs
camera/right | seq = 35 | latency = 26787 µs
perception/objects | seq = 18 | latency = 452 µs
camera/left | seq = 33 | latency = 30509 µs
camera/rear | seq = 34 | latency = 34180 µs
camera/front | seq = 35 | latency = 29740 µs
lidar/main | seq = 16 | latency = 44280 µs
camera/right | seq = 36 | latency = 29028 µs
camera/rear | seq = 35 | latency = 24688 µs
camera/right | seq = 37 | latency = 14543 µs
camera/front | seq = 36 | latency = 20133 µs
radar/rear | seq = 17 | latency = 21832 µs
camera/left | seq = 35 | latency = 25121 µs
perception/objects | seq = 19 | latency = 1149 µs
camera/rear | seq = 36 | latency = 29211 µs
camera/front | seq = 37 | latency = 25279 µs
camera/right | seq = 38 | latency = 28913 µs
camera/left | seq = 36 | latency = 28960 µs
lidar/main | seq = 17 | latency = 45591 µs
camera/rear | seq = 37 | latency = 27898 µs
radar/front | seq = 18 | latency = 25717 µs
camera/front | seq = 38 | latency = 31625 µs
camera/right | seq = 39 | latency = 28976 µs
perception/objects | seq = 20 | latency = 1035 µs
camera/left | seq = 37 | latency = 34263 µs
radar/rear | seq = 18 | latency = 30286 µs
camera/rear | seq = 38 | latency = 31371 µs
camera/front | seq = 39 | latency = 27249 µs
lidar/main | seq = 18 | latency = 44683 µs
camera/right | seq = 40 | latency = 29082 µs
camera/left | seq = 38 | latency = 33998 µs
camera/rear | seq = 39 | latency = 34083 µs
camera/front | seq = 40 | latency = 37335 µs
perception/objects | seq = 21 | latency = 997 µs
radar/front | seq = 19 | latency = 38273 µs
camera/left | seq = 39 | latency = 28761 µs
camera/right | seq = 41 | latency = 31392 µs
camera/left | seq = 40 | latency = 7712 µs
camera/rear | seq = 41 | latency = 10771 µs
camera/right | seq = 42 | latency = 16562 µs
camera/front | seq = 42 | latency = 17946 µs
camera/left | seq = 41 | latency = 13277 µs
camera/rear | seq = 42 | latency = 17923 µs
perception/objects | seq = 22 | latency = 467 µs
radar/front | seq = 20 | latency = 19853 µs
camera/right | seq = 43 | latency = 26270 µs
lidar/aux | seq = 20 | latency = 43205 µs
camera/front | seq = 43 | latency = 28691 µs
radar/rear | seq = 20 | latency = 28578 µs
camera/left | seq = 42 | latency = 25221 µs
camera/rear | seq = 43 | latency = 28530 µs
camera/front | seq = 44 | latency = 13946 µs
camera/left | seq = 43 | latency = 14388 µs
camera/rear | seq = 44 | latency = 18843 µs
perception/objects | seq = 23 | latency = 320 µs
radar/front | seq = 21 | latency = 20141 µs
camera/right | seq = 45 | latency = 24019 µs
camera/front | seq = 45 | latency = 26441 µs
lidar/aux | seq = 21 | latency = 44662 µs
camera/left | seq = 44 | latency = 25953 µs
camera/front | seq = 46 | latency = 15542 µs
camera/left | seq = 45 | latency = 15099 µs
camera/rear | seq = 46 | latency = 21096 µs
camera/right | seq = 47 | latency = 19312 µs
radar/front | seq = 22 | latency = 19329 µs
perception/objects | seq = 24 | latency = 827 µs
camera/front | seq = 47 | latency = 22487 µs
camera/left | seq = 46 | latency = 27582 µs
camera/right | seq = 48 | latency = 23129 µs
lidar/aux | seq = 22 | latency = 44055 µs
radar/rear | seq = 22 | latency = 25972 µs
camera/front | seq = 48 | latency = 24080 µs
camera/rear | seq = 48 | latency = 26913 µs
camera/left | seq = 47 | latency = 33125 µs
camera/right | seq = 49 | latency = 26202 µs
radar/front | seq = 23 | latency = 18211 µs
perception/objects | seq = 25 | latency = 545 µs
camera/rear | seq = 49 | latency = 18253 µs
camera/front | seq = 50 | latency = 18618 µs
camera/left | seq = 48 | latency = 24519 µs
lidar/aux | seq = 23 | latency = 43090 µs
camera/right | seq = 50 | latency = 29712 µs
radar/rear | seq = 23 | latency = 32546 µs
camera/rear | seq = 50 | latency = 32653 µs
camera/front | seq = 51 | latency = 31042 µs
radar/front | seq = 24 | latency = 15899 µs
camera/front | seq = 52 | latency = 17277 µs
perception/objects | seq = 26 | latency = 870 µs
camera/rear | seq = 51 | latency = 20616 µs
camera/left | seq = 50 | latency = 21127 µs
camera/right | seq = 52 | latency = 20556 µs
camera/front | seq = 53 | latency = 16913 µs
radar/rear | seq = 24 | latency = 20695 µs
camera/rear | seq = 52 | latency = 26122 µs
camera/right | seq = 53 | latency = 23112 µs
camera/left | seq = 51 | latency = 26716 µs
camera/front | seq = 54 | latency = 27342 µs
perception/objects | seq = 27 | latency = 208 µs
lidar/main | seq = 24 | latency = 44276 µs
camera/rear | seq = 53 | latency = 31183 µs
radar/front | seq = 25 | latency = 28158 µs
camera/right | seq = 54 | latency = 29836 µs
camera/left | seq = 52 | latency = 31955 µs
camera/front | seq = 55 | latency = 30682 µs
camera/right | seq = 55 | latency = 15793 µs
camera/front | seq = 56 | latency = 16217 µs
camera/left | seq = 53 | latency = 19751 µs
perception/objects | seq = 28 | latency = 1042 µs
camera/rear | seq = 55 | latency = 26463 µs
radar/front | seq = 26 | latency = 22865 µs
lidar/main | seq = 25 | latency = 43937 µs
camera/right | seq = 56 | latency = 23515 µs
camera/front | seq = 57 | latency = 23536 µs
camera/left | seq = 54 | latency = 25431 µs
camera/front | seq = 58 | latency = 8671 µs
camera/left | seq = 55 | latency = 12338 µs
camera/rear | seq = 57 | latency = 19528 µs
camera/right | seq = 58 | latency = 22959 µs
perception/objects | seq = 29 | latency = 669 µs
radar/front | seq = 27 | latency = 18350 µs
lidar/main | seq = 26 | latency = 44880 µs
camera/front | seq = 59 | latency = 19586 µs
camera/rear | seq = 58 | latency = 23025 µs
camera/left | seq = 56 | latency = 25738 µs
camera/right | seq = 59 | latency = 29850 µs
camera/front | seq = 60 | latency = 21613 µs
radar/rear | seq = 27 | latency = 24735 µs
camera/rear | seq = 59 | latency = 30169 µs
camera/left | seq = 57 | latency = 27104 µs
perception/objects | seq = 30 | latency = 228 µs
camera/right | seq = 60 | latency = 27403 µs
lidar/main | seq = 27 | latency = 43055 µs
camera/front | seq = 61 | latency = 30060 µs
camera/rear | seq = 60 | latency = 31895 µs
camera/front | seq = 62 | latency = 9951 µs
camera/rear | seq = 61 | latency = 13808 µs
camera/left | seq = 59 | latency = 19871 µs
radar/rear | seq = 28 | latency = 22628 µs
camera/right | seq = 62 | latency = 22692 µs
camera/front | seq = 63 | latency = 18505 µs
