perception/objects | seq = 1 | latency = 196 µs
camera/front | seq = 1 | latency = 7031 µs
camera/left | seq = 1 | latency = 14777 µs
camera/right | seq = 1 | latency = 22504 µs
camera/front | seq = 2 | latency = 9223 µs
camera/left | seq = 2 | latency = 10713 µs
lidar/main | seq = 1 | latency = 39564 µs
camera/right | seq = 2 | latency = 14112 µs
camera/rear | seq = 2 | latency = 16219 µs
perception/objects | seq = 2 | latency = 131 µs
camera/front | seq = 3 | latency = 5426 µs
camera/left | seq = 3 | latency = 4072 µs
camera/right | seq = 3 | latency = 6126 µs
camera/rear | seq = 3 | latency = 9888 µs
radar/front | seq = 2 | latency = 11056 µs
radar/rear | seq = 2 | latency = 12609 µs
camera/front | seq = 4 | latency = 19368 µs
camera/left | seq = 4 | latency = 21509 µs
camera/right | seq = 4 | latency = 22206 µs
perception/objects | seq = 3 | latency = 271 µs
lidar/main | seq = 2 | latency = 46559 µs
camera/rear | seq = 4 | latency = 23753 µs
camera/front | seq = 5 | latency = 29352 µs
camera/left | seq = 5 | latency = 29695 µs
camera/right | seq = 5 | latency = 29088 µs
camera/rear | seq = 5 | latency = 26905 µs
camera/front | seq = 6 | latency = 29356 µs
radar/front | seq = 3 | latency = 28685 µs
radar/rear | seq = 3 | latency = 27681 µs
camera/rear | seq = 6 | latency = 15537 µs
camera/front | seq = 7 | latency = 10761 µs
perception/objects | seq = 4 | latency = 266 µs
camera/left | seq = 7 | latency = 15647 µs
camera/right | seq = 7 | latency = 19458 µs
camera/rear | seq = 7 | latency = 17746 µs
camera/front | seq = 8 | latency = 16780 µs
camera/left | seq = 8 | latency = 20869 µs
camera/right | seq = 8 | latency = 25339 µs
lidar/aux | seq = 3 | latency = 45801 µs
camera/front | seq = 9 | latency = 17649 µs
camera/left | seq = 9 | latency = 15030 µs
perception/objects | seq = 5 | latency = 271 µs
camera/right | seq = 9 | latency = 18618 µs
camera/rear | seq = 9 | latency = 17805 µs
camera/front | seq = 10 | latency = 15665 µs
camera/left | seq = 10 | latency = 19047 µs
camera/right | seq = 10 | latency = 21662 µs
camera/rear | seq = 10 | latency = 18752 µs
camera/front | seq = 11 | latency = 24879 µs
radar/front | seq = 5 | latency = 27596 µs
lidar/aux | seq = 4 | latency = 45692 µs
camera/left | seq = 11 | latency = 31104 µs
perception/objects | seq = 6 | latency = 261 µs
radar/rear | seq = 5 | latency = 30652 µs
camera/right | seq = 11 | latency = 28440 µs
camera/front | seq = 12 | latency = 26455 µs
camera/left | seq = 12 | latency = 12517 µs
camera/front | seq = 13 | latency = 8341 µs
camera/right | seq = 12 | latency = 10998 µs
camera/rear | seq = 12 | latency = 17044 µs
camera/left | seq = 13 | latency = 17320 µs
radar/front | seq = 6 | latency = 19102 µs
camera/front | seq = 14 | latency = 19828 µs
perception/objects | seq = 7 | latency = 260 µs
radar/rear | seq = 6 | latency = 18788 µs
camera/right | seq = 13 | latency = 24279 µs
lidar/aux | seq = 5 | latency = 48792 µs
camera/left | seq = 14 | latency = 22038 µs
camera/front | seq = 15 | latency = 17434 µs
camera/right | seq = 14 | latency = 16618 µs
camera/rear | seq = 14 | latency = 19815 µs
camera/front | seq = 16 | latency = 17259 µs
radar/front | seq = 7 | latency = 16955 µs
camera/right | seq = 15 | latency = 18318 µs
perception/objects | seq = 8 | latency = 255 µs
camera/rear | seq = 15 | latency = 23059 µs
radar/rear | seq = 7 | latency = 23330 µs
camera/left | seq = 16 | latency = 25246 µs
camera/front | seq = 17 | latency = 27313 µs
lidar/aux | seq = 6 | latency = 49743 µs
camera/right | seq = 16 | latency = 26835 µs
