perception/objects | seq = 1 | latency = 971 µs
camera/front | seq = 1 | latency = 6780 µs
camera/left | seq = 1 | latency = 13927 µs
lidar/main | seq = 1 | latency = 31211 µs
camera/front | seq = 2 | latency = 10736 µs
camera/right | seq = 2 | latency = 17514 µs
perception/objects | seq = 2 | latency = 1035 µs
camera/front | seq = 3 | latency = 11207 µs
lidar/aux | seq = 1 | latency = 60089 µs
camera/right | seq = 3 | latency = 18069 µs
camera/rear | seq = 3 | latency = 27356 µs
camera/left | seq = 3 | latency = 33919 µs
radar/rear | seq = 2 | latency = 33734 µs
radar/front | seq = 2 | latency = 33963 µs
lidar/main | seq = 2 | latency = 40453 µs
camera/front | seq = 4 | latency = 33434 µs
perception/objects | seq = 3 | latency = 922 µs
camera/right | seq = 4 | latency = 40468 µs
camera/rear | seq = 4 | latency = 41029 µs
camera/right | seq = 5 | latency = 19647 µs
camera/rear | seq = 5 | latency = 15943 µs
camera/left | seq = 5 | latency = 19587 µs
radar/rear | seq = 3 | latency = 18175 µs
camera/front | seq = 6 | latency = 21974 µs
radar/front | seq = 3 | latency = 20315 µs
camera/right | seq = 6 | latency = 22168 µs
camera/rear | seq = 6 | latency = 21342 µs
perception/objects | seq = 4 | latency = 1044 µs
camera/left | seq = 6 | latency = 23805 µs
camera/front | seq = 7 | latency = 20657 µs
camera/right | seq = 7 | latency = 23083 µs
lidar/aux | seq = 3 | latency = 42870 µs
camera/rear | seq = 7 | latency = 24440 µs
camera/left | seq = 7 | latency = 24714 µs
radar/rear | seq = 4 | latency = 19125 µs
camera/rear | seq = 8 | latency = 22803 µs
radar/front | seq = 4 | latency = 22294 µs
perception/objects | seq = 5 | latency = 1003 µs
camera/left | seq = 8 | latency = 26200 µs
camera/front | seq = 9 | latency = 23769 µs
camera/right | seq = 9 | latency = 22440 µs
camera/left | seq = 9 | latency = 11439 µs
camera/right | seq = 10 | latency = 9132 µs
camera/front | seq = 10 | latency = 15651 µs
camera/rear | seq = 10 | latency = 23896 µs
radar/rear | seq = 5 | latency = 22722 µs
radar/front | seq = 5 | latency = 23051 µs
lidar/aux | seq = 5 | latency = 39579 µs
perception/objects | seq = 6 | latency = 1047 µs
camera/left | seq = 10 | latency = 29065 µs
camera/right | seq = 11 | latency = 25418 µs
camera/rear | seq = 11 | latency = 31332 µs
camera/front | seq = 11 | latency = 38364 µs
camera/left | seq = 11 | latency = 32486 µs
camera/right | seq = 12 | latency = 29104 µs
camera/front | seq = 12 | latency = 15459 µs
camera/left | seq = 12 | latency = 14731 µs
perception/objects | seq = 7 | latency = 928 µs
camera/right | seq = 13 | latency = 19171 µs
camera/rear | seq = 13 | latency = 15084 µs
camera/front | seq = 13 | latency = 20827 µs
camera/left | seq = 13 | latency = 22400 µs
camera/right | seq = 14 | latency = 26415 µs
lidar/main | seq = 6 | latency = 43547 µs
camera/front | seq = 14 | latency = 25752 µs
camera/rear | seq = 14 | latency = 31863 µs
perception/objects | seq = 8 | latency = 981 µs
radar/front | seq = 7 | latency = 30558 µs
camera/left | seq = 14 | latency = 35763 µs
camera/right | seq = 15 | latency = 41576 µs
radar/rear | seq = 7 | latency = 43046 µs
camera/front | seq = 15 | latency = 38623 µs
camera/rear | seq = 15 | latency = 31414 µs
camera/right | seq = 16 | latency = 17351 µs
camera/front | seq = 16 | latency = 20748 µs
radar/front | seq = 8 | latency = 20738 µs
perception/objects | seq = 9 | latency = 930 µs
camera/left | seq = 16 | latency = 27510 µs
camera/rear | seq = 16 | latency = 33499 µs
lidar/main | seq = 8 | latency = 42922 µs
camera/right | seq = 17 | latency = 28254 µs
radar/rear | seq = 8 | latency = 27194 µs
camera/left | seq = 17 | latency = 33725 µs
camera/front | seq = 17 | latency = 40885 µs
camera/rear | seq = 17 | latency = 37357 µs
perception/objects | seq = 10 | latency = 964 µs
camera/right | seq = 18 | latency = 41961 µs
camera/left | seq = 18 | latency = 27887 µs
radar/front | seq = 9 | latency = 28689 µs
