perception/objects | seq = 1 | latency = 793 µs
camera/front | seq = 1 | latency = 5823 µs
camera/left | seq = 1 | latency = 10985 µs
camera/right | seq = 1 | latency = 16840 µs
camera/rear | seq = 1 | latency = 22428 µs
radar/front | seq = 1 | latency = 22949 µs
radar/rear | seq = 1 | latency = 25774 µs
camera/left | seq = 2 | latency = 12647 µs
camera/front | seq = 2 | latency = 17515 µs
lidar/main | seq = 1 | latency = 43141 µs
camera/right | seq = 2 | latency = 16682 µs
perception/objects | seq = 2 | latency = 1726 µs
camera/rear | seq = 2 | latency = 18461 µs
camera/left | seq = 3 | latency = 16150 µs
camera/front | seq = 3 | latency = 18113 µs
camera/right | seq = 3 | latency = 14852 µs
camera/rear | seq = 3 | latency = 17966 µs
camera/left | seq = 4 | latency = 21291 µs
radar/front | seq = 2 | latency = 24465 µs
radar/rear | seq = 2 | latency = 20798 µs
camera/front | seq = 4 | latency = 23615 µs
camera/right | seq = 4 | latency = 26125 µs
perception/objects | seq = 3 | latency = 1824 µs
camera/rear | seq = 4 | latency = 22076 µs
camera/left | seq = 5 | latency = 23709 µs
lidar/main | seq = 2 | latency = 50694 µs
camera/front | seq = 5 | latency = 19654 µs
camera/right | seq = 5 | latency = 20529 µs
camera/rear | seq = 5 | latency = 15547 µs
camera/left | seq = 6 | latency = 18705 µs
radar/front | seq = 3 | latency = 21264 µs
camera/front | seq = 6 | latency = 23419 µs
radar/rear | seq = 3 | latency = 26056 µs
perception/objects | seq = 4 | latency = 2026 µs
camera/right | seq = 6 | latency = 24811 µs
camera/rear | seq = 6 | latency = 28485 µs
camera/left | seq = 7 | latency = 20630 µs
camera/front | seq = 7 | latency = 25391 µs
camera/right | seq = 7 | latency = 19292 µs
camera/rear | seq = 7 | latency = 15563 µs
radar/front | seq = 4 | latency = 10315 µs
camera/left | seq = 8 | latency = 13386 µs
camera/front | seq = 8 | latency = 8800 µs
camera/right | seq = 8 | latency = 7909 µs
radar/rear | seq = 4 | latency = 9029 µs
camera/rear | seq = 8 | latency = 7709 µs
perception/objects | seq = 5 | latency = 2015 µs
camera/left | seq = 9 | latency = 11044 µs
camera/front | seq = 9 | latency = 7825 µs
camera/right | seq = 9 | latency = 9830 µs
camera/left | seq = 10 | latency = 11201 µs
camera/rear | seq = 9 | latency = 14670 µs
radar/front | seq = 5 | latency = 11181 µs
camera/front | seq = 10 | latency = 12846 µs
lidar/aux | seq = 4 | latency = 43125 µs
camera/right | seq = 10 | latency = 13859 µs
radar/rear | seq = 5 | latency = 12282 µs
camera/left | seq = 11 | latency = 17870 µs
perception/objects | seq = 6 | latency = 2029 µs
camera/rear | seq = 10 | latency = 22038 µs
camera/front | seq = 11 | latency = 18293 µs
camera/right | seq = 11 | latency = 18818 µs
camera/left | seq = 12 | latency = 17772 µs
camera/front | seq = 12 | latency = 6995 µs
radar/front | seq = 6 | latency = 8342 µs
camera/right | seq = 12 | latency = 8253 µs
camera/left | seq = 13 | latency = 9718 µs
camera/rear | seq = 12 | latency = 15734 µs
radar/rear | seq = 6 | latency = 13995 µs
camera/front | seq = 13 | latency = 11645 µs
perception/objects | seq = 7 | latency = 2292 µs
camera/rear | seq = 13 | latency = 12076 µs
camera/right | seq = 13 | latency = 18024 µs
camera/left | seq = 14 | latency = 21147 µs
camera/right | seq = 14 | latency = 11954 µs
lidar/main | seq = 5 | latency = 44264 µs
camera/front | seq = 14 | latency = 17790 µs
camera/rear | seq = 14 | latency = 20919 µs
radar/front | seq = 7 | latency = 20913 µs
camera/left | seq = 15 | latency = 23109 µs
camera/front | seq = 15 | latency = 19632 µs
radar/rear | seq = 7 | latency = 19237 µs
perception/objects | seq = 8 | latency = 2154 µs
camera/right | seq = 15 | latency = 23418 µs
camera/rear | seq = 15 | latency = 24738 µs
camera/left | seq = 16 | latency = 13757 µs
camera/front | seq = 16 | latency = 16584 µs
camera/right | seq = 16 | latency = 10406 µs
camera/rear | seq = 16 | latency = 15072 µs
radar/front | seq = 8 | latency = 15110 µs
camera/left | seq = 17 | latency = 15337 µs
camera/front | seq = 17 | latency = 17880 µs
camera/rear | seq = 17 | latency = 17846 µs
radar/rear | seq = 8 | latency = 16930 µs
perception/objects | seq = 9 | latency = 2255 µs
camera/right | seq = 17 | latency = 22166 µs
lidar/aux | seq = 7 | latency = 44477 µs
camera/front | seq = 18 | latency = 17285 µs
camera/rear | seq = 18 | latency = 16327 µs
camera/right | seq = 18 | latency = 19783 µs
camera/left | seq = 19 | latency = 19970 µs
camera/front | seq = 19 | latency = 22074 µs
radar/front | seq = 9 | latency = 20263 µs
camera/right | seq = 19 | latency = 20923 µs
camera/left | seq = 20 | latency = 15705 µs
camera/front | seq = 20 | latency = 18765 µs
radar/rear | seq = 9 | latency = 20072 µs
perception/objects | seq = 10 | latency = 1373 µs
camera/rear | seq = 20 | latency = 15350 µs
camera/right | seq = 20 | latency = 16870 µs
camera/left | seq = 21 | latency = 16626 µs
camera/front | seq = 21 | latency = 13437 µs
camera/rear | seq = 21 | latency = 14793 µs
camera/right | seq = 21 | latency = 18942 µs
radar/front | seq = 10 | latency = 21009 µs
camera/left | seq = 22 | latency = 23971 µs
lidar/main | seq = 8 | latency = 45170 µs
camera/front | seq = 22 | latency = 19604 µs
perception/objects | seq = 11 | latency = 2157 µs
camera/rear | seq = 22 | latency = 21250 µs
radar/rear | seq = 10 | latency = 21197 µs
camera/right | seq = 22 | latency = 24936 µs
camera/left | seq = 23 | latency = 22403 µs
radar/front | seq = 11 | latency = 6749 µs
camera/left | seq = 24 | latency = 10823 µs
camera/right | seq = 23 | latency = 12898 µs
camera/front | seq = 24 | latency = 15356 µs
camera/rear | seq = 24 | latency = 13213 µs
camera/left | seq = 25 | latency = 8100 µs
camera/right | seq = 24 | latency = 13029 µs
radar/rear | seq = 11 | latency = 13506 µs
perception/objects | seq = 12 | latency = 2154 µs
camera/front | seq = 25 | latency = 16007 µs
camera/rear | seq = 25 | latency = 17103 µs
camera/left | seq = 26 | latency = 16273 µs
camera/right | seq = 25 | latency = 15911 µs
camera/front | seq = 26 | latency = 16609 µs
lidar/aux | seq = 10 | latency = 44926 µs
camera/rear | seq = 26 | latency = 21368 µs
camera/left | seq = 27 | latency = 17334 µs
camera/right | seq = 26 | latency = 17220 µs
perception/objects | seq = 13 | latency = 2132 µs
camera/front | seq = 27 | latency = 20201 µs
radar/rear | seq = 12 | latency = 20716 µs
camera/rear | seq = 27 | latency = 25433 µs
camera/left | seq = 28 | latency = 21207 µs
camera/right | seq = 27 | latency = 22429 µs
camera/front | seq = 28 | latency = 20392 µs
camera/rear | seq = 28 | latency = 15899 µs
camera/left | seq = 29 | latency = 14417 µs
radar/front | seq = 13 | latency = 15452 µs
camera/front | seq = 29 | latency = 15338 µs
camera/right | seq = 28 | latency = 20213 µs
perception/objects | seq = 14 | latency = 2166 µs
camera/rear | seq = 29 | latency = 22187 µs
radar/rear | seq = 13 | latency = 20065 µs
camera/left | seq = 30 | latency = 20275 µs
camera/front | seq = 30 | latency = 20208 µs
lidar/main | seq = 11 | latency = 44600 µs
camera/right | seq = 29 | latency = 23336 µs
camera/rear | seq = 30 | latency = 25166 µs
camera/left | seq = 31 | latency = 16182 µs
camera/front | seq = 31 | latency = 16767 µs
radar/front | seq = 14 | latency = 15333 µs
camera/rear | seq = 31 | latency = 14010 µs
camera/right | seq = 30 | latency = 16903 µs
radar/rear | seq = 14 | latency = 13107 µs
perception/objects | seq = 15 | latency = 2146 µs
camera/left | seq = 32 | latency = 16929 µs
camera/front | seq = 32 | latency = 18208 µs
camera/rear | seq = 32 | latency = 20782 µs
camera/right | seq = 31 | latency = 16096 µs
camera/left | seq = 33 | latency = 17288 µs
lidar/main | seq = 12 | latency = 44986 µs
camera/front | seq = 33 | latency = 18805 µs
camera/rear | seq = 33 | latency = 20470 µs
radar/front | seq = 15 | latency = 15461 µs
camera/right | seq = 32 | latency = 16995 µs
camera/left | seq = 34 | latency = 15095 µs
radar/rear | seq = 15 | latency = 14272 µs
perception/objects | seq = 16 | latency = 2261 µs
camera/front | seq = 34 | latency = 20146 µs
camera/rear | seq = 34 | latency = 22201 µs
camera/right | seq = 33 | latency = 18904 µs
camera/left | seq = 35 | latency = 18153 µs
camera/rear | seq = 35 | latency = 16121 µs
camera/front | seq = 35 | latency = 21616 µs
lidar/main | seq = 13 | latency = 46046 µs
camera/right | seq = 34 | latency = 23447 µs
camera/left | seq = 36 | latency = 23473 µs
radar/front | seq = 16 | latency = 24108 µs
radar/rear | seq = 16 | latency = 17729 µs
perception/objects | seq = 17 | latency = 2302 µs
camera/right | seq = 35 | latency = 18473 µs
camera/left | seq = 37 | latency = 19268 µs
camera/rear | seq = 37 | latency = 18822 µs
camera/front | seq = 37 | latency = 20484 µs
camera/right | seq = 36 | latency = 16866 µs
camera/left | seq = 38 | latency = 17951 µs
camera/rear | seq = 38 | latency = 15111 µs
radar/front | seq = 17 | latency = 12949 µs
camera/front | seq = 38 | latency = 17264 µs
camera/right | seq = 37 | latency = 16225 µs
camera/left | seq = 39 | latency = 21368 µs
perception/objects | seq = 18 | latency = 2120 µs
radar/rear | seq = 17 | latency = 19869 µs
camera/rear | seq = 39 | latency = 20556 µs
camera/front | seq = 39 | latency = 24690 µs
camera/left | seq = 40 | latency = 23589 µs
lidar/aux | seq = 15 | latency = 45656 µs
camera/right | seq = 38 | latency = 28774 µs
camera/rear | seq = 40 | latency = 20918 µs
camera/left | seq = 41 | latency = 19809 µs
camera/front | seq = 40 | latency = 22210 µs
radar/front | seq = 18 | latency = 22171 µs
camera/right | seq = 39 | latency = 24691 µs
perception/objects | seq = 19 | latency = 2241 µs
radar/rear | seq = 18 | latency = 21390 µs
camera/rear | seq = 41 | latency = 25870 µs
camera/front | seq = 41 | latency = 23589 µs
camera/left | seq = 42 | latency = 25101 µs
camera/right | seq = 40 | latency = 15991 µs
camera/rear | seq = 42 | latency = 13530 µs
camera/front | seq = 42 | latency = 16809 µs
camera/right | seq = 41 | latency = 13054 µs
camera/left | seq = 43 | latency = 18847 µs
radar/front | seq = 19 | latency = 19456 µs
perception/objects | seq = 20 | latency = 2212 µs
camera/front | seq = 43 | latency = 18580 µs
camera/rear | seq = 43 | latency = 23128 µs
radar/rear | seq = 19 | latency = 24045 µs
lidar/main | seq = 16 | latency = 45667 µs
camera/right | seq = 42 | latency = 20435 µs
camera/left | seq = 44 | latency = 25608 µs
camera/front | seq = 44 | latency = 22342 µs
camera/rear | seq = 44 | latency = 26473 µs
camera/right | seq = 43 | latency = 23399 µs
camera/left | seq = 45 | latency = 21920 µs
camera/front | seq = 45 | latency = 24300 µs
radar/front | seq = 20 | latency = 21617 µs
perception/objects | seq = 21 | latency = 2125 µs
radar/rear | seq = 20 | latency = 17119 µs
camera/rear | seq = 45 | latency = 19712 µs
camera/right | seq = 44 | latency = 22533 µs
camera/front | seq = 46 | latency = 13231 µs
camera/rear | seq = 46 | latency = 9568 µs
camera/right | seq = 45 | latency = 13046 µs
camera/left | seq = 47 | latency = 17991 µs
camera/front | seq = 47 | latency = 17846 µs
radar/front | seq = 21 | latency = 10152 µs
camera/left | seq = 48 | latency = 14310 µs
lidar/aux | seq = 18 | latency = 45661 µs
camera/rear | seq = 47 | latency = 18434 µs
perception/objects | seq = 22 | latency = 2333 µs
camera/right | seq = 46 | latency = 22262 µs
radar/rear | seq = 21 | latency = 23639 µs
camera/front | seq = 48 | latency = 24591 µs
camera/rear | seq = 48 | latency = 20555 µs
camera/right | seq = 47 | latency = 23208 µs
camera/left | seq = 49 | latency = 28044 µs
camera/front | seq = 49 | latency = 14741 µs
camera/rear | seq = 49 | latency = 16885 µs
camera/right | seq = 48 | latency = 16083 µs
radar/front | seq = 22 | latency = 17314 µs
radar/rear | seq = 22 | latency = 12584 µs
camera/left | seq = 50 | latency = 16688 µs
perception/objects | seq = 23 | latency = 2198 µs
camera/rear | seq = 50 | latency = 15504 µs
camera/front | seq = 50 | latency = 19139 µs
camera/right | seq = 49 | latency = 22896 µs
camera/left | seq = 51 | latency = 16648 µs
camera/rear | seq = 51 | latency = 20739 µs
camera/right | seq = 50 | latency = 19115 µs
camera/front | seq = 51 | latency = 22286 µs
lidar/main | seq = 19 | latency = 45542 µs
camera/left | seq = 52 | latency = 21821 µs
camera/rear | seq = 52 | latency = 25840 µs
perception/objects | seq = 24 | latency = 2181 µs
camera/right | seq = 51 | latency = 24117 µs
radar/rear | seq = 23 | latency = 24475 µs
camera/right | seq = 52 | latency = 13579 µs
camera/rear | seq = 53 | latency = 16375 µs
camera/front | seq = 53 | latency = 20327 µs
camera/left | seq = 54 | latency = 19365 µs
camera/right | seq = 53 | latency = 10563 µs
camera/rear | seq = 54 | latency = 11881 µs
camera/front | seq = 54 | latency = 16182 µs
camera/left | seq = 55 | latency = 16908 µs
radar/front | seq = 24 | latency = 11920 µs
radar/rear | seq = 24 | latency = 14252 µs
perception/objects | seq = 25 | latency = 2354 µs
camera/right | seq = 54 | latency = 12398 µs
camera/rear | seq = 55 | latency = 16656 µs
camera/left | seq = 56 | latency = 20511 µs
camera/front | seq = 55 | latency = 22250 µs
camera/rear | seq = 56 | latency = 15164 µs
lidar/main | seq = 21 | latency = 45819 µs
camera/right | seq = 55 | latency = 17919 µs
camera/left | seq = 57 | latency = 20648 µs
camera/front | seq = 56 | latency = 23917 µs
radar/front | seq = 25 | latency = 13548 µs
camera/rear | seq = 57 | latency = 18188 µs
radar/rear | seq = 25 | latency = 18471 µs
perception/objects | seq = 26 | latency = 2362 µs
camera/right | seq = 56 | latency = 24629 µs
camera/left | seq = 58 | latency = 27717 µs
camera/front | seq = 57 | latency = 25162 µs
